epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,1847.55,1.06643,1.23767,1.10664,0.69957,0.88587,0.91694,0.44684,2.31484,0.96548,1.98333,0.00525,0.00525,0.00525
102,1855.25,1.03682,1.22047,1.07929,0.70351,0.91304,0.94449,0.47302,2.24067,0.91724,1.86082,0.0052025,0.0052025,0.0052025
103,1863.11,1.03975,1.19289,1.09208,0.66688,0.85517,0.9136,0.46047,2.25036,1.00659,1.86751,0.005155,0.005155,0.005155
104,1870.81,1.04956,1.24189,1.10562,0.88056,0.82537,0.95174,0.47402,2.24431,0.86514,1.86366,0.0051075,0.0051075,0.0051075
105,1878.15,1.04952,1.25782,1.07908,0.66134,0.83913,0.91368,0.44576,2.33208,1.00316,1.95077,0.00506,0.00506,0.00506
106,1885.61,1.06334,1.20739,1.09254,0.76148,0.93798,0.94762,0.47202,2.25893,0.83336,1.87912,0.0050125,0.0050125,0.0050125
107,1893.1,1.05404,1.22579,1.07697,0.66566,0.91304,0.91491,0.44665,2.29377,0.92802,1.93894,0.004965,0.004965,0.004965
108,1901.14,1.04728,1.22637,1.08337,0.73046,0.90524,0.95174,0.49414,2.1925,0.94433,1.78007,0.0049175,0.0049175,0.0049175
109,1908.21,1.05488,1.21323,1.0426,0.75834,0.86522,0.94789,0.46794,2.26639,0.90305,1.94471,0.00487,0.00487,0.00487
110,1915.57,1.03843,1.18545,1.08936,0.80839,0.80435,0.93059,0.48548,2.27312,0.90516,1.91334,0.0048225,0.0048225,0.0048225
111,1922.74,1.03833,1.22268,1.09671,0.79995,0.78498,0.92269,0.45611,2.32031,1.01769,1.95683,0.004775,0.004775,0.004775
112,1930.09,1.02923,1.19014,1.07415,0.67281,0.87448,0.90589,0.46867,2.24208,0.91644,1.83357,0.0047275,0.0047275,0.0047275
113,1937.78,1.04906,1.19004,1.09027,0.72158,0.93089,0.93286,0.45102,2.32653,0.96591,1.95585,0.00468,0.00468,0.00468
114,1945.04,1.04717,1.23496,1.09716,0.77264,0.93521,0.94213,0.46544,2.29388,0.84359,1.937,0.0046325,0.0046325,0.0046325
115,1952.6,1.05925,1.24035,1.10064,0.67639,0.9449,0.94919,0.48322,2.198,0.92475,1.8458,0.004585,0.004585,0.004585
116,1960.42,1.04963,1.21352,1.07711,0.75866,0.90761,0.94706,0.46921,2.23628,0.85062,1.89431,0.0045375,0.0045375,0.0045375
117,1968.33,1.03371,1.17331,1.07348,0.8014,0.9499,0.95174,0.47582,2.2484,0.81069,1.84853,0.00449,0.00449,0.00449
118,1975.98,1.03498,1.19298,1.08997,0.72696,0.81739,0.87311,0.43335,2.29795,0.91266,1.95284,0.0044425,0.0044425,0.0044425
119,1983.36,1.02806,1.16425,1.08438,0.73796,0.95217,0.94609,0.47456,2.24571,0.85703,1.88321,0.004395,0.004395,0.004395
120,1991.15,1.01211,1.13003,1.08906,0.82706,0.82717,0.92151,0.46477,2.28675,0.83037,1.88634,0.0043475,0.0043475,0.0043475
121,1998.68,1.01429,1.1441,1.06101,0.72741,0.92896,0.93087,0.47046,2.24801,0.8016,1.87367,0.0043,0.0043,0.0043
122,2006.14,1.06486,1.2221,1.08443,0.84599,0.82877,0.92434,0.46815,2.27533,0.85397,1.92404,0.0042525,0.0042525,0.0042525
123,2013.31,1.04832,1.21978,1.08701,0.69705,0.90182,0.94098,0.46122,2.29595,0.91276,1.92521,0.004205,0.004205,0.004205
124,2020.81,1.02837,1.148,1.07548,0.77161,0.89031,0.92243,0.46262,2.25005,0.86147,1.8694,0.0041575,0.0041575,0.0041575
125,2028.22,1.05381,1.21882,1.09658,0.74707,0.95187,0.95174,0.46963,2.2396,0.82245,1.87547,0.00411,0.00411,0.00411
126,2035.45,1.03994,1.18694,1.07381,0.71957,0.91304,0.95174,0.48929,2.16102,0.90273,1.75869,0.0040625,0.0040625,0.0040625
127,2042.9,1.04114,1.19621,1.08296,0.7154,0.89311,0.91002,0.46064,2.2461,0.8919,1.85231,0.004015,0.004015,0.004015
128,2050.48,1.04273,1.15725,1.0742,0.71969,0.94439,0.94467,0.46849,2.2223,0.88365,1.88009,0.0039675,0.0039675,0.0039675
129,2057.75,1.02402,1.13997,1.06779,0.73246,0.91686,0.92091,0.47018,2.28305,0.78761,1.87296,0.00392,0.00392,0.00392
130,2065.59,1.01796,1.11982,1.06698,0.74927,0.8488,0.91497,0.4456,2.29387,0.98167,1.9657,0.0038725,0.0038725,0.0038725
131,2073.33,1.02949,1.18101,1.07588,0.80341,0.88261,0.92185,0.45218,2.30205,0.82757,1.93976,0.003825,0.003825,0.003825
132,2080.14,1.02586,1.14875,1.04493,0.84008,0.78558,0.92682,0.47345,2.22984,0.89068,1.88271,0.0037775,0.0037775,0.0037775
133,2087.8,1.00957,1.10145,1.07245,0.86192,0.79015,0.92024,0.45771,2.25481,0.91499,1.87272,0.00373,0.00373,0.00373
134,2095.11,1.01318,1.13492,1.07107,0.76452,0.8945,0.934,0.47524,2.21802,0.80142,1.87911,0.0036825,0.0036825,0.0036825
135,2102.79,1.04076,1.15456,1.05833,0.77478,0.86753,0.93234,0.49373,2.17114,0.85674,1.76171,0.003635,0.003635,0.003635
136,2109.96,1.03409,1.18321,1.06839,0.7467,0.93925,0.94661,0.47713,2.24175,0.83097,1.89216,0.0035875,0.0035875,0.0035875
